measure,location,sex,age,cause,metric,year,val,upper,lower
5,218,3,27,1029,2,2019,0.003553606146329599,0.004501839950182036,0.0027888886129524533
5,30,3,27,976,2,2019,0.10784140755861213,0.11835519116653666,0.09810900474022044
5,208,3,27,509,2,2019,0.02011648202097806,0.0214190123612374,0.01888118996130576
5,129,3,27,976,2,2019,0.08573026107950979,0.0949698494676733,0.0772888838485715
5,118,3,27,589,2,2019,0.0941521668281782,0.09992989816222098,0.08806298390402197
5,151,3,27,491,2,2019,0.07658656889397562,0.08014796386406235,0.07289108881699186
5,97,3,27,491,2,2019,0.05503407733081811,0.058635491132657494,0.05185416623936279
5,196,3,27,589,2,2019,0.0815813791565362,0.08695457856978844,0.07605333860235126
5,162,3,27,1029,2,2019,0.003424462115305814,0.004315267519926097,0.0026082497943566503
5,76,3,27,976,2,2019,0.04623064488197395,0.0516558877244625,0.04082451611042177
5,22,3,27,589,2,2019,0.11811356935343144,0.1262975559086843,0.10999265555360065
5,151,3,27,589,2,2019,0.11996324696992047,0.12879704533514033,0.1116051939254176
5,207,3,27,1029,2,2019,0.0048556512643560135,0.005994941033621761,0.0039420908896876635
5,97,3,27,509,2,2019,0.031956570534988335,0.03357036934907652,0.030429145493012122
5,77,3,27,509,2,2019,0.030358489056852286,0.03225284413856331,0.02860698740515935
5,108,3,27,976,2,2019,0.06720484453806314,0.0732517599323729,0.06107308623793985
5,130,3,27,491,2,2019,0.053026913929797526,0.05626071705285448,0.050009931234791104
5,184,3,27,509,2,2019,0.015869270445384807,0.016801513273446988,0.014873206550929201
5,163,3,27,491,2,2019,0.06302005358975604,0.06721584901929498,0.05893151473531389
5,208,3,27,1029,2,2019,0.004205098445010531,0.005257443285072263,0.0033210871401217995
5,97,3,27,589,2,2019,0.07563535001141308,0.08083008599685794,0.07081248466388644
5,217,3,27,1029,2,2019,0.003277621204913569,0.004305407703728685,0.0024843978848576756
5,183,3,27,1029,2,2019,0.007557307886415145,0.009157370200095046,0.006219978133027657
5,209,3,27,491,2,2019,0.06456483684200322,0.0688501152743168,0.060518389093181094
5,109,3,27,491,2,2019,0.06393760157707762,0.06757806563177235,0.06038202114163024
5,118,3,27,976,2,2019,0.1079610549391588,0.11761984507665696,0.09914275905361498
5,416,3,27,1029,2,2019,0.006643919525640287,0.008601622830934434,0.005121417370119269
